state_ID,year,biofuel,biomass,geo,hydro,solar,wind,noncombustible,total
AL,1960,0,0,0,0,0,0,67128,112809
AL,1961,0,0,0,0,0,0,71851,118021
AL,1962,0,0,0,0,0,0,79605,125564
AL,1963,0,0,0,0,0,0,66918,112682
AL,1964,0,0,0,0,0,0,91651,137992
AL,1965,0,0,0,0,0,0,74247,121888
AL,1966,0,0,0,0,0,0,72135,121238
AL,1967,0,0,0,0,0,0,95334,144384
AL,1968,0,0,0,0,0,0,76753,129673
AL,1969,0,0,0,0,0,0,78511,131856
AL,1970,0,0,0,0,0,0,80092,132471
AL,1971,0,0,0,0,0,0,104114,158182
AL,1972,0,0,0,0,0,0,106211,164946
AL,1973,0,0,0,0,0,0,122622,181706
AL,1974,0,0,0,0,0,0,108270,166734
AL,1975,0,0,0,0,0,0,127086,184701
AL,1976,0,0,0,0,0,0,98111,160994
AL,1977,0,0,0,0,0,0,108046,174751
AL,1978,0,0,0,0,0,0,81781,148341
AL,1979,0,0,0,0,0,0,122863,190737
AL,1980,0,0,0,0,0,0,97733,238766
AL,1981,0,0,0,0,0,0,63113,213355
AL,1982,0,0,0,0,0,0,112184,265453
AL,1983,0,0,0,0,0,0,117458,281940
AL,1984,0,0,0,0,0,0,112730,287856
AL,1985,0,0,0,0,0,0,71935,247353
AL,1986,0,0,0,0,0,0,54848,213815
AL,1987,0,0,0,0,0,0,77855,229572
AL,1988,0,0,0,0,0,0,55575,213088
AL,1989,0,0,0,0,0,0,137357,302389
AL,1990,0,0,0,0,0,0,107983,251667
AL,1991,0,0,0,0,0,0,112429,255590
AL,1992,0,0,0,0,0,0,106272,255014
AL,1993,0,0,0,0,0,0,93297,268147
AL,1994,0,0,0,0,0,0,118070,332532
AL,1995,0,0,0,0,0,0,98145,320101
AL,1996,0,0,0,0,0,0,114750,323372
AL,1997,0,0,0,0,0,0,117816,299675
AL,1998,0,0,0,0,0,0,107882,317065
AL,1999,0,0,0,0,0,0,79539,290195
AL,2000,0,0,0,0,0,0,59520,263303
AL,2001,0,0,0,0,0,0,86508,251523
AL,2002,0,0,0,0,0,0,89923,252689
AL,2003,0,0,0,0,0,0,128362,283428
AL,2004,0,0,0,0,0,0,106554,290697
AL,2005,0,0,0,0,0,0,101567,279600
AL,2006,0,0,0,0,0,0,72078,266153
AL,2007,100,542,0,0,0,0,41042,228703
AL,2008,114,622,0,0,0,0,60647,234001
AL,2009,8,42,0,0,0,0,122533,264530
AL,2010,0,0,0,0,0,0,85124,242243
AL,2011,0,0,0,0,0,0,86519,255849
AL,2012,26,142,0,0,0,0,70972,242204
AL,2013,583,3168,0,0,0,0,123310,313665
AL,2014,424,2302,0,0,0,0,90271,270743
AL,2015,353,1919,0,0,0,0,92145,258941
AL,2016,352,1912,0,0,0,0,65056,230731
AL,2017,292,1585,0,0,0,0,87057,254958
AL,2018,304,1652,0,0,0,0,105014,276734
AK,1960,0,0,0,0,0,0,3120,6800
AK,1961,0,0,0,0,0,0,3168,7313
AK,1962,0,0,0,0,0,0,3207,7453
AK,1963,0,0,0,0,0,0,3410,7793
AK,1964,0,0,0,0,0,0,3374,8102
AK,1965,0,0,0,0,0,0,3655,8519
AK,1966,0,0,0,0,0,0,3293,8328
AK,1967,0,0,0,0,0,0,3786,8457
AK,1968,0,0,0,0,0,0,3781,8486
AK,1969,0,0,0,0,0,0,3562,8455
AK,1970,0,0,0,0,0,0,3806,8835
AK,1971,0,0,0,0,0,0,3807,9094
AK,1972,0,0,0,0,0,0,3594,8673
AK,1973,0,0,0,0,0,0,2973,7844
AK,1974,0,0,0,0,0,0,3407,8329
AK,1975,0,0,0,0,0,0,3713,8608
AK,1976,0,0,0,0,0,0,3978,9201
AK,1977,0,0,0,0,0,0,5343,11449
AK,1978,0,0,0,0,0,0,4889,10809
AK,1979,0,0,0,0,0,0,4747,10733
AK,1980,0,0,0,0,0,0,5599,8321
AK,1981,0,0,0,0,0,0,6171,9216
AK,1982,0,0,0,0,0,0,5870,8745
AK,1983,0,0,0,0,0,0,6243,9591
AK,1984,0,0,0,0,0,0,7235,11152
AK,1985,0,0,0,0,0,0,7816,11783
AK,1986,0,0,0,0,0,0,8448,10706
AK,1987,0,0,0,0,0,0,9080,12000
AK,1988,0,0,0,0,0,0,9658,12759
AK,1989,0,0,0,0,0,0,9154,18342
AK,1990,0,0,0,0,0,0,10189,18357
AK,1991,0,0,0,0,0,0,9404,17357
AK,1992,0,0,0,0,0,0,9547,18300
AK,1993,0,0,0,0,0,0,13484,20551
AK,1994,0,0,0,0,0,0,13931,23587
AK,1995,0,0,0,0,0,0,14201,22506
AK,1996,0,0,0,0,0,0,13141,21187
AK,1997,0,0,0,0,0,0,11275,14994
AK,1998,0,0,0,0,0,0,11404,13291
AK,1999,0,0,0,0,0,0,8437,10212
AK,2000,0,0,0,0,0,0,10306,12204
AK,2001,0,0,0,0,0,0,14001,16974
AK,2002,0,0,0,0,0,0,14729,17922
AK,2003,0,0,0,0,0,0,16113,19374
AK,2004,0,0,0,0,0,0,15092,18416
AK,2005,0,0,0,0,0,0,14734,15866
AK,2006,0,0,0,0,0,0,12232,13298
AK,2007,0,0,0,0,0,0,12860,14037
AK,2008,0,0,0,0,0,0,11680,12913
AK,2009,0,0,0,0,0,0,13142,15685
AK,2010,0,0,0,0,0,0,14261,16965
AK,2011,0,0,0,0,0,0,13403,16078
AK,2012,0,0,0,0,0,0,15533,17796
AK,2013,0,0,0,0,0,0,15271,18629
AK,2014,0,0,0,0,0,0,16268,19790
AK,2015,4,21,0,0,0,0,16298,23807
AK,2016,5,27,0,0,0,0,17081,25120
AK,2017,5,29,0,0,0,0,16655,23608
AK,2018,3,15,0,0,0,0,16777,24117
AZ,1960,0,0,0,0,0,0,32169,36181
AZ,1961,0,0,0,0,0,0,31246,35083
AZ,1962,0,0,0,0,0,0,30861,34533
AZ,1963,0,0,0,0,0,0,30834,34861
AZ,1964,0,0,0,0,0,0,30182,34271
AZ,1965,0,0,0,0,0,0,46400,50095
AZ,1966,0,0,0,0,0,0,54380,58060
AZ,1967,0,0,0,0,0,0,52243,56423
AZ,1968,0,0,0,0,0,0,59309,63456
AZ,1969,0,0,0,0,0,0,63451,67840
AZ,1970,0,0,0,0,0,0,64580,68919
AZ,1971,0,0,0,0,0,0,69610,74136
AZ,1972,0,0,0,0,0,0,70406,75189
AZ,1973,0,0,0,0,0,0,74774,79348
AZ,1974,0,0,0,0,0,0,77275,82058
AZ,1975,0,0,0,0,0,0,75484,80897
AZ,1976,0,0,0,0,0,0,78612,84428
AZ,1977,0,0,0,0,0,0,68843,75681
AZ,1978,0,0,0,0,0,0,72741,79870
AZ,1979,0,0,0,0,0,0,75123,83414
AZ,1980,0,0,0,0,0,0,102171,120006
AZ,1981,0,0,0,0,0,0,71114,92565
AZ,1982,0,0,0,0,0,0,73334,94926
AZ,1983,0,0,0,0,0,0,152355,175993
AZ,1984,0,0,0,0,0,0,163692,188831
AZ,1985,0,0,0,0,0,0,146123,171680
AZ,1986,0,0,0,0,0,0,151060,175103
AZ,1987,0,0,0,0,0,0,105592,123114
AZ,1988,0,0,0,0,0,0,80385,98749
AZ,1989,0,0,0,0,0,0,85877,101498
AZ,1990,0,0,0,0,0,0,81012,94753
AZ,1991,0,0,0,0,0,0,74189,88774
AZ,1992,0,0,0,0,0,0,72433,87528
AZ,1993,0,0,0,0,0,0,73071,86666
AZ,1994,0,0,0,0,0,0,80054,93513
AZ,1995,0,0,0,0,0,0,89551,103931
AZ,1996,0,0,0,0,0,0,99374,112164
AZ,1997,0,0,0,0,0,0,127090,141607
AZ,1998,0,0,0,0,0,0,115814,126648
AZ,1999,0,0,0,0,0,0,103653,114877
AZ,2000,0,0,0,0,0,0,88852,100776
AZ,2001,0,0,0,0,0,0,82148,90514
AZ,2002,0,0,0,0,0,0,78727,86880
AZ,2003,0,0,0,0,0,0,74629,83080
AZ,2004,0,0,0,0,0,0,72770,81377
AZ,2005,0,0,0,0,0,0,66951,78334
AZ,2006,0,0,0,0,0,0,70326,80773
AZ,2007,667,3894,0,0,0,0,68261,83251
AZ,2008,1365,7897,0,0,0,0,75273,96752
AZ,2009,1349,7771,0,0,0,0,66793,80898
AZ,2010,1373,7909,0,0,0,0,70779,85935
AZ,2011,1345,7724,0,0,0,0,99568,113360
AZ,2012,955,5466,0,0,0,0,87419,98806
AZ,2013,24,132,0,0,0,0,92474,98958
AZ,2014,1062,6032,0,0,0,0,106553,120149
AZ,2015,1219,6908,0,0,0,0,113700,129266
AZ,2016,1227,6923,0,0,0,0,124380,139231
AZ,2017,1209,6811,0,0,0,0,134864,148625
AZ,2018,1203,6771,0,0,0,0,139538,154992
LA,1960,0,0,0,0,0,0,0,38992
LA,1961,0,0,0,0,0,0,0,37174
LA,1962,0,0,0,0,0,0,0,36785
LA,1963,0,0,0,0,0,0,0,39147
LA,1964,0,0,0,0,0,0,0,39291
LA,1965,0,0,0,0,0,0,0,38299
LA,1966,0,0,0,0,0,0,0,39754
LA,1967,0,0,0,0,0,0,0,37685
LA,1968,0,0,0,0,0,0,0,40791
LA,1969,0,0,0,0,0,0,0,40698
LA,1970,0,0,0,0,0,0,0,41620
LA,1971,0,0,0,0,0,0,0,41912
LA,1972,0,0,0,0,0,0,0,44819
LA,1973,0,0,0,0,0,0,0,45748
LA,1974,0,0,0,0,0,0,0,44928
LA,1975,0,0,0,0,0,0,0,42358
LA,1976,0,0,0,0,0,0,0,45170
LA,1977,0,0,0,0,0,0,0,46692
LA,1978,0,0,0,0,0,0,0,47825
LA,1979,0,0,0,0,0,0,0,44717
LA,1980,0,0,0,0,0,0,0,64707
LA,1981,0,0,0,0,0,0,0,68263
LA,1982,0,0,0,0,0,0,0,69667
LA,1983,0,0,0,0,0,0,0,74654
LA,1984,0,0,0,0,0,0,0,78627
LA,1985,0,0,0,0,0,0,0,78537
LA,1986,0,0,0,0,0,0,0,99811
LA,1987,0,0,0,0,0,0,0,100062
LA,1988,0,0,0,0,0,0,0,103943
LA,1989,0,0,0,0,0,0,172,129286
LA,1990,0,0,0,0,0,0,7014,125199
LA,1991,0,0,0,0,0,0,7051,127508
LA,1992,0,0,0,0,0,0,7000,130798
LA,1993,0,0,0,0,0,0,12920,137491
LA,1994,0,0,0,0,0,0,10332,147246
LA,1995,0,0,0,0,0,0,10152,151598
LA,1996,0,0,0,0,0,0,10340,152443
LA,1997,0,0,0,0,0,0,10977,149628
LA,1998,0,0,0,0,0,0,11295,147482
LA,1999,0,0,0,0,0,0,8717,148307
LA,2000,0,0,0,0,0,0,5941,142328
LA,2001,0,0,0,0,0,0,8124,136086
LA,2002,0,0,0,0,0,0,9668,140938
LA,2003,0,0,0,0,0,0,9792,148609
LA,2004,0,0,0,0,0,0,11849,185640
LA,2005,0,0,0,0,0,0,9075,151309
LA,2006,66,359,0,0,0,0,8138,149821
LA,2007,90,488,0,0,0,0,9372,150497
LA,2008,89,495,0,0,0,0,11846,109774
LA,2009,36,206,0,0,0,0,13670,107145
LA,2010,37,216,0,0,0,0,12638,113338
LA,2011,62,346,0,0,0,0,12200,112191
LA,2012,137,753,0,0,0,0,8631,109621
LA,2013,36,208,0,0,0,0,12477,126191
LA,2014,34,195,0,0,0,0,13283,149570
LA,2015,0,0,0,0,0,0,12673,132250
LA,2016,0,0,0,0,0,0,13877,154739
LA,2017,0,0,0,0,0,0,12149,135752
LA,2018,0,0,0,0,0,0,14773,137292
MN,1960,0,0,0,0,0,0,9542,34957
MN,1961,0,0,0,0,0,0,7852,32478
MN,1962,0,0,0,0,0,0,10199,34382
MN,1963,0,0,0,0,0,0,8817,32328
MN,1964,0,0,0,0,0,0,9884,33210
MN,1965,0,0,0,0,0,0,11420,34786
MN,1966,0,0,0,0,0,0,12348,35031
MN,1967,0,0,0,0,0,0,9000,32385
MN,1968,0,0,0,0,0,0,10467,33828
MN,1969,0,0,0,0,0,0,10492,34190
MN,1970,0,0,0,0,0,0,9379,32822
MN,1971,0,0,0,0,0,0,10265,33768
MN,1972,0,0,0,0,0,0,10810,35695
MN,1973,0,0,0,0,0,0,10977,36452
MN,1974,0,0,0,0,0,0,9586,35899
MN,1975,0,0,0,0,0,0,9539,36949
MN,1976,0,0,0,0,0,0,6095,35632
MN,1977,0,0,0,0,0,0,6991,36725
MN,1978,0,0,0,0,0,0,11205,50237
MN,1979,0,0,0,0,0,0,9493,53947
MN,1980,0,0,0,0,0,0,8169,54794
MN,1981,0,0,0,0,0,0,9808,56592
MN,1982,0,0,0,0,0,0,10518,58930
MN,1983,0,0,0,0,0,0,11292,62650
MN,1984,0,0,0,0,0,0,10138,66000
MN,1985,0,0,0,0,0,0,10169,66473
MN,1986,62,392,0,0,0,0,11289,63838
MN,1987,62,390,0,0,0,0,9015,58913
MN,1988,62,389,0,0,0,0,6990,60210
MN,1989,262,1637,0,0,0,0,8983,63542
MN,1990,262,1631,0,0,0,0,9401,59880
MN,1991,405,2512,0,0,0,0,11324,63243
MN,1992,833,5152,0,0,0,0,11503,69504
MN,1993,905,5574,0,0,0,0,12388,70105
MN,1994,976,5993,0,0,0,0,12663,72105
MN,1995,1214,7428,0,0,0,0,12464,76096
MN,1996,1643,10014,0,0,0,0,13349,80512
MN,1997,2667,16197,0,0,0,0,11678,83512
MN,1998,2952,17869,0,0,0,0,11784,80517
MN,1999,4524,27340,0,0,0,0,17580,95416
MN,2000,5238,31616,0,0,0,0,17415,103427
MN,2001,6000,36168,0,0,0,0,18369,108950
MN,2002,7143,43001,0,0,0,0,17944,107216
MN,2003,8548,51148,0,0,0,0,18704,113752
MN,2004,9531,56683,0,0,0,0,16089,125527
MN,2005,10381,61183,0,0,0,0,24152,142459
MN,2006,14524,84697,0,0,0,0,26711,164929
MN,2007,15191,88276,0,0,0,0,33308,185053
MN,2008,17848,103316,0,0,0,0,51001,218974
MN,2009,23436,135011,0,0,0,0,58336,262847
MN,2010,28430,163477,0,0,0,0,56210,299125
MN,2011,28322,162367,0,0,0,0,73843,310581
MN,2012,26018,148646,0,0,0,0,84518,306465
MN,2013,26185,148955,0,0,0,0,85091,307069
MN,2014,29319,166372,0,0,0,0,98864,345987
MN,2015,29202,165162,0,0,0,0,100590,345122
MN,2016,30324,170845,0,0,0,0,104583,353311
MN,2017,30151,169552,0,0,0,0,121517,368460
MN,2018,31242,175485,0,0,0,0,118642,372435
ME,1960,0,0,0,0,0,0,30607,59784
ME,1961,0,0,0,0,0,0,27731,56575
ME,1962,0,0,0,0,0,0,26679,55672
ME,1963,0,0,0,0,0,0,29873,58874
ME,1964,0,0,0,0,0,0,25860,55936
ME,1965,0,0,0,0,0,0,21625,51675
ME,1966,0,0,0,0,0,0,25207,55812
ME,1967,0,0,0,0,0,0,26702,58337
ME,1968,0,0,0,0,0,0,27147,59840
ME,1969,0,0,0,0,0,0,28873,61658
ME,1970,0,0,0,0,0,0,29942,59420
ME,1971,0,0,0,0,0,0,25807,55423
ME,1972,0,0,0,0,0,0,27560,59882
ME,1973,0,0,0,0,0,0,32157,64648
ME,1974,0,0,0,0,0,0,30399,64263
ME,1975,0,0,0,0,0,0,27719,60423
ME,1976,0,0,0,0,0,0,32095,70099
ME,1977,0,0,0,0,0,0,31672,72689
ME,1978,0,0,0,0,0,0,29293,74889
ME,1979,0,0,0,0,0,0,28878,76896
ME,1980,0,0,0,0,0,0,25106,121124
ME,1981,0,0,0,0,0,0,29834,129782
ME,1982,0,0,0,0,0,0,30770,126910
ME,1983,0,0,0,0,0,0,30891,140252
ME,1984,0,0,0,0,0,0,31187,139329
ME,1985,0,0,0,0,0,0,28118,136042
ME,1986,0,0,0,0,0,0,31411,122771
ME,1987,0,0,0,0,0,0,27888,116377
ME,1988,0,0,0,0,0,0,26248,118029
ME,1989,0,0,0,0,0,0,36019,154425
ME,1990,0,0,0,0,0,0,42635,151630
ME,1991,0,0,0,0,0,0,39926,157261
ME,1992,0,0,0,0,0,0,36418,159035
ME,1993,0,0,0,0,0,0,33558,158153
ME,1994,0,0,0,0,0,0,36327,156736
ME,1995,0,0,0,0,0,0,34701,160885
ME,1996,0,0,0,0,0,0,43102,167218
ME,1997,0,0,0,0,0,0,37374,161828
ME,1998,0,0,0,0,0,0,38009,151240
ME,1999,0,0,0,0,0,0,38530,159186
ME,2000,0,0,0,0,0,0,36745,163025
ME,2001,0,0,0,0,0,0,27441,146146
ME,2002,0,0,0,0,0,0,28260,140385
ME,2003,0,0,0,0,0,0,32221,132344
ME,2004,0,0,0,0,0,0,34463,136769
ME,2005,0,0,0,0,0,0,41013,159674
ME,2006,0,0,0,0,0,0,42557,152339
ME,2007,0,0,0,0,0,0,38059,155620
ME,2008,0,0,0,0,0,0,45397,182576
ME,2009,0,0,0,0,0,0,44209,148204
ME,2010,2,10,0,0,0,0,42253,159001
ME,2011,2,13,0,0,0,0,45735,161563
ME,2012,4,21,0,0,0,0,44226,157341
ME,2013,11,58,0,0,0,0,44303,161720
ME,2014,10,52,0,0,0,0,45237,157454
ME,2015,8,43,0,0,0,0,43787,161418
ME,2016,11,60,0,0,0,0,43575,141850
ME,2017,10,55,0,0,0,0,53364,152503
ME,2018,10,55,0,0,0,0,52234,154006
AR,1960,0,0,0,0,0,0,10671,48104
AR,1961,0,0,0,0,0,0,14854,51144
AR,1962,0,0,0,0,0,0,11197,47637
AR,1963,0,0,0,0,0,0,5168,41897
AR,1964,0,0,0,0,0,0,5872,42732
AR,1965,0,0,0,0,0,0,11291,46425
AR,1966,0,0,0,0,0,0,16528,51697
AR,1967,0,0,0,0,0,0,12815,46124
AR,1968,0,0,0,0,0,0,31247,64986
AR,1969,0,0,0,0,0,0,30115,64813
AR,1970,0,0,0,0,0,0,22668,56933
AR,1971,0,0,0,0,0,0,18897,53579
AR,1972,0,0,0,0,0,0,17059,53917
AR,1973,0,0,0,0,0,0,44172,81723
AR,1974,0,0,0,0,0,0,44600,81339
AR,1975,0,0,0,0,0,0,35719,71589
AR,1976,0,0,0,0,0,0,20975,62300
AR,1977,0,0,0,0,0,0,18684,69746
AR,1978,0,0,0,0,0,0,25086,77088
AR,1979,0,0,0,0,0,0,34940,80773
AR,1980,0,0,0,0,0,0,17606,69996
AR,1981,0,0,0,0,0,0,12913,68190
AR,1982,0,0,0,0,0,0,22019,77582
AR,1983,0,0,0,0,0,0,34872,95310
AR,1984,0,0,0,0,0,0,28429,91421
AR,1985,0,0,0,0,0,0,46323,109186
AR,1986,0,0,0,0,0,0,29390,91234
AR,1987,0,0,0,0,0,0,25080,86688
AR,1988,0,0,0,0,0,0,28754,92546
AR,1989,0,0,0,0,0,0,33524,119759
AR,1990,0,0,0,0,0,0,39405,109997
AR,1991,0,0,0,0,0,0,38411,109823
AR,1992,0,0,0,0,0,0,36331,112587
AR,1993,0,0,0,0,0,0,47892,133646
AR,1994,0,0,0,0,0,0,37103,119581
AR,1995,0,0,0,0,0,0,34542,117474
AR,1996,0,0,0,0,0,0,30248,118017
AR,1997,0,0,0,0,0,0,37161,124045
AR,1998,0,0,0,0,0,0,32967,114927
AR,1999,0,0,0,0,0,0,28675,110822
AR,2000,0,0,0,0,0,0,25168,108634
AR,2001,0,0,0,0,0,0,27185,94001
AR,2002,0,0,0,0,0,0,35680,108618
AR,2003,0,0,0,0,0,0,27527,107905
AR,2004,0,0,0,0,0,0,37037,112915
AR,2005,39,211,0,0,0,0,31261,112661
AR,2006,176,959,0,0,0,0,15875,100949
AR,2007,184,1001,0,0,0,0,32527,121735
AR,2008,281,1528,0,0,0,0,46547,124882
AR,2009,274,1490,0,0,0,0,41682,125695
AR,2010,185,1006,0,0,0,0,36550,126235
AR,2011,702,3816,0,0,0,0,29573,124987
AR,2012,492,2673,0,0,0,0,21829,114237
AR,2013,869,4723,0,0,0,0,26245,121310
AR,2014,632,3432,0,0,0,0,26023,119813
AR,2015,809,4397,0,0,0,0,34194,117808
AR,2016,993,5394,0,0,0,0,34139,115408
AR,2017,1244,6760,0,0,0,0,28367,115289
AR,2018,1748,9499,0,0,0,0,30318,125039
MI,1960,0,0,0,0,0,0,21839,59100
MI,1961,0,0,0,0,0,0,19038,55209
MI,1962,0,0,0,0,0,0,17996,53745
MI,1963,0,0,0,0,0,0,14353,51374
MI,1964,0,0,0,0,0,0,16169,52769
MI,1965,0,0,0,0,0,0,18954,55858
MI,1966,0,0,0,0,0,0,18954,56828
MI,1967,0,0,0,0,0,0,20555,56539
MI,1968,0,0,0,0,0,0,19887,56320
MI,1969,0,0,0,0,0,0,19758,56624
MI,1970,0,0,0,0,0,0,17878,54309
MI,1971,0,0,0,0,0,0,18613,53960
MI,1972,0,0,0,0,0,0,18608,56203
MI,1973,0,0,0,0,0,0,10947,47225
MI,1974,0,0,0,0,0,0,12347,50587
MI,1975,0,0,0,0,0,0,11553,47458
MI,1976,0,0,0,0,0,0,10890,52481
MI,1977,0,0,0,0,0,0,9716,54719
MI,1978,0,0,0,0,0,0,11243,66270
MI,1979,0,0,0,0,0,0,13524,73877
MI,1980,0,0,0,0,0,0,12464,103039
MI,1981,0,0,0,0,0,0,12963,108231
MI,1982,0,0,0,0,0,0,12655,107422
MI,1983,0,0,0,0,0,0,12934,117776
MI,1984,0,0,0,0,0,0,11181,110270
MI,1985,0,0,0,0,0,0,10416,110639
MI,1986,0,0,0,0,0,0,7527,113125
MI,1987,0,0,0,0,0,0,5010,112079
MI,1988,0,0,0,0,0,0,6191,118354
MI,1989,0,0,0,0,0,0,8560,111822
MI,1990,0,0,0,0,0,0,17738,97986
MI,1991,0,0,0,0,0,0,19134,105361
MI,1992,0,0,0,0,0,0,19335,108477
MI,1993,0,0,0,0,0,0,19108,100474
MI,1994,0,0,0,0,0,0,18141,102457
MI,1995,0,0,0,0,0,0,17557,105715
MI,1996,0,0,0,0,0,0,19601,122454
MI,1997,0,0,0,0,0,0,18714,113741
MI,1998,0,0,0,0,0,0,15552,105953
MI,1999,0,0,0,0,0,0,16318,107946
MI,2000,0,0,0,0,0,0,15947,110506
MI,2001,0,0,0,0,0,0,17602,94158
MI,2002,0,0,0,0,0,0,18547,89210
MI,2003,1030,6164,0,0,0,0,16033,103312
MI,2004,1155,6871,0,0,0,0,17608,108765
MI,2005,1111,6565,0,0,0,0,17146,116821
MI,2006,1867,10971,0,0,0,0,17989,117111
MI,2007,4592,26746,0,0,0,0,15998,133054
MI,2008,5656,32736,0,0,0,0,18774,146310
MI,2009,5211,30044,0,0,0,0,21099,131657
MI,2010,6410,36913,0,0,0,0,21080,147391
MI,2011,6544,37574,0,0,0,0,23279,161909
MI,2012,6212,35540,0,0,0,0,28199,161316
MI,2013,6598,37610,0,0,0,0,46208,188127
MI,2014,6758,38414,0,0,0,0,58013,202358
MI,2015,6702,37953,0,0,0,0,64721,222155
MI,2016,6906,38944,0,0,0,0,64077,215246
MI,2017,8502,47858,0,0,0,0,70182,229974
MI,2018,8815,49555,0,0,0,0,71470,240104
KS,1960,0,0,0,0,0,0,211,4123
KS,1961,0,0,0,0,0,0,171,3855
KS,1962,0,0,0,0,0,0,162,3670
KS,1963,0,0,0,0,0,0,174,3798
KS,1964,0,0,0,0,0,0,140,3674
KS,1965,0,0,0,0,0,0,140,3499
KS,1966,0,0,0,0,0,0,138,3529
KS,1967,0,0,0,0,0,0,97,3349
KS,1968,0,0,0,0,0,0,106,3459
KS,1969,0,0,0,0,0,0,67,3280
KS,1970,0,0,0,0,0,0,71,3730
KS,1971,0,0,0,0,0,0,75,3941
KS,1972,0,0,0,0,0,0,48,5702
KS,1973,0,0,0,0,0,0,32,6031
KS,1974,0,0,0,0,0,0,70,5915
KS,1975,0,0,0,0,0,0,48,5811
KS,1976,0,0,0,0,0,0,54,6526
KS,1977,0,0,0,0,0,0,33,6852
KS,1978,0,0,0,0,0,0,49,7540
KS,1979,0,0,0,0,0,0,38,7928
KS,1980,0,0,0,0,0,0,86,9088
KS,1981,62,398,0,0,0,0,80,8562
KS,1982,207,1328,0,0,0,0,68,11049
KS,1983,391,2496,0,0,0,0,58,11519
KS,1984,468,2980,0,0,0,0,79,14177
KS,1985,504,3195,0,0,0,0,94,14756
KS,1986,535,3377,0,0,0,0,87,21920
KS,1987,586,3691,0,0,0,0,93,21370
KS,1988,590,3703,0,0,0,0,120,22757
KS,1989,558,3489,0,0,0,0,162,18659
KS,1990,469,2923,0,0,0,0,217,14891
KS,1991,551,3417,0,0,0,0,210,15626
KS,1992,492,3041,0,0,0,0,222,15374
KS,1993,711,4379,0,0,0,0,191,15474
KS,1994,770,4727,0,0,0,0,261,15279
KS,1995,727,4450,0,0,0,0,293,15090
KS,1996,294,1790,0,0,0,0,325,12575
KS,1997,511,3101,0,0,0,0,372,11885
KS,1998,592,3584,0,0,0,0,400,11658
KS,1999,540,3261,0,0,0,0,412,11528
KS,2000,636,3842,0,0,0,0,438,11914
KS,2001,686,4135,0,0,0,0,978,13084
KS,2002,1475,8877,0,0,0,0,5201,22196
KS,2003,2328,13933,0,0,0,0,4260,26498
KS,2004,2646,15734,0,0,0,0,4195,28341
KS,2005,3143,18579,0,0,0,0,4929,31101
KS,2006,4164,24466,0,0,0,0,10539,39697
KS,2007,5550,32404,0,0,0,0,12149,49690
KS,2008,10598,61499,0,0,0,0,18153,85267
KS,2009,9781,56457,0,0,0,0,28898,91075
KS,2010,10855,62511,0,0,0,0,34283,103678
KS,2011,10697,61413,0,0,0,0,37321,107503
KS,2012,10154,58092,0,0,0,0,50551,116218
KS,2013,10708,61063,0,0,0,0,91169,160732
KS,2014,12678,72088,0,0,0,0,104319,184884
KS,2015,12262,69482,0,0,0,0,103733,180373
KS,2016,12194,68847,0,0,0,0,131653,206873
KS,2017,12164,68532,0,0,0,0,172819,247541
KS,2018,11827,66563,0,0,0,0,173694,248242
CT,1960,0,0,0,0,0,0,4564,17406
CT,1961,0,0,0,0,0,0,3907,17076
CT,1962,0,0,0,0,0,0,3112,15937
CT,1963,0,0,0,0,0,0,2915,16253
CT,1964,0,0,0,0,0,0,2817,16703
CT,1965,0,0,0,0,0,0,1959,15500
CT,1966,0,0,0,0,0,0,2631,16243
CT,1967,0,0,0,0,0,0,4108,18072
CT,1968,0,0,0,0,0,0,3727,18657
CT,1969,0,0,0,0,0,0,4439,19701
CT,1970,0,0,0,0,0,0,3456,19293
CT,1971,0,0,0,0,0,0,4098,20206
CT,1972,0,0,0,0,0,0,5584,22712
CT,1973,0,0,0,0,0,0,4644,21870
CT,1974,0,0,0,0,0,0,4470,22509
CT,1975,0,0,0,0,0,0,5135,22237
CT,1976,0,0,0,0,0,0,3976,23862
CT,1977,0,0,0,0,0,0,4497,24105
CT,1978,0,0,0,0,0,0,3723,26391
CT,1979,0,0,0,0,0,0,4777,29359
CT,1980,0,0,0,0,0,0,2659,43748
CT,1981,0,0,0,0,0,0,2717,42867
CT,1982,0,0,0,0,0,0,3877,41444
CT,1983,0,0,0,0,0,0,3977,48187
CT,1984,0,0,0,0,0,0,3941,41070
CT,1985,0,0,0,0,0,0,2760,40282
CT,1986,0,0,0,0,0,0,3899,35510
CT,1987,0,0,0,0,0,0,3578,30809
CT,1988,0,0,0,0,0,0,3411,34409
CT,1989,0,0,0,0,0,0,4671,36042
CT,1990,0,0,0,0,0,0,6002,34712
CT,1991,0,0,0,0,0,0,4593,34896
CT,1992,0,0,0,0,0,0,4456,38926
CT,1993,0,0,0,0,0,0,4353,39111
CT,1994,0,0,0,0,0,0,5098,40443
CT,1995,0,0,0,0,0,0,3904,46144
CT,1996,0,0,0,0,0,0,6659,56055
CT,1997,0,0,0,0,0,0,4761,50710
CT,1998,0,0,0,0,0,0,4803,49188
CT,1999,0,0,0,0,0,0,4584,49290
CT,2000,0,0,0,0,0,0,5634,50578
CT,2001,0,0,0,0,0,0,3267,29813
CT,2002,0,0,0,0,0,0,3779,28314
